订单编号,新单续保,起保日,保期,初始保费,批改保费,已赚保费,报案数量,累计赔付金额,赔付比例,保额,伤残,省份,城市,新单承保人数,最终承保人数,30周岁以下（男）,30-39周岁（男）,40-49周岁（男）,50-59周岁（男）,60-64周岁（男）,65周岁以上（男）,30周岁以下（女）,30-39周岁（女）,40-49周岁（女）,50-59周岁（女）,60-64周岁（女）,65周岁以上（女）,一类参保,二类参保,三类参保,四类参保,五类参保,一类未参保,二类未参保,三类未参保,四类未参保,五类未参保,涉高一类参保,涉高二类参保,涉高三类参保,涉高四类参保,涉高五类参保,涉高一类未参保,涉高二类未参保,涉高三类未参保,涉高四类未参保,涉高五类未参保,涉高率,参保率,批改率,行业1级,行业2级,行业3级,行业4级
1FF8347603CB68_3,续保,2023-07-20 00:00:00,366,67371.0,0.0,67371.0,2,9200,0.137,1000000,十级伤残:5%,江苏省,徐州市,30,30,0,4,8,10,3,0,0,3,2,0,0,0,0,0,0,0,0,2,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,F|批发和零售业,F052|零售业,F0528|五金、家具及室内装饰材料专门零售,F05281|五金零售
3D24F493E30DF4_1,续保,2023-07-21 00:00:00,366,26230.0,1039.17,27269.17,0,0,0.0,1000000,十级伤残:5%,江苏省,苏州市,10,11,1,2,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.0,0.0,12.182,E|建筑业,E049|建筑安装业,E0492|管道和设备安装,
AF31541C09CC6D_2,新单,2023-07-21 00:00:00,366,8984.0,2662.99,11646.99,1,723,0.062,500000,十级伤残:5%,江西省,萍乡市,10,13,0,4,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.308,C|制造业,C022|造纸和纸制品业,C0223|纸制品制造,C02239|其他纸制品制造
0E2244BD9C9349,新单,2023-07-22 00:00:00,92,2900.0,0.0,2900.0,0,0,0.0,500000,十级伤残:5%,江苏省,常州市,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,C|制造业,C038|电气机械和器材制造业,C0389|其他电气机械及器材制造,C03899|其他未列明电气机械及器材制造
B7DE144EE62B56_1,新单,2023-07-26 00:00:00,366,2497.0,0.0,2497.0,1,9036,3.619,100000,十级伤残:10%,江苏省,常州市,11,11,1,0,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,E|建筑业,E050|建筑装饰、装修和其他建筑业,E0501|建筑装饰和装修业,E05012|住宅装饰和装修
AB0A44723BEC2A_2,新单,2023-07-26 00:00:00,366,14622.0,0.0,14622.0,0,0,0.0,500000,十级伤残:10%,江苏省,常州市,21,21,1,10,4,0,0,0,3,2,1,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.19,K|房地产业,K070|房地产业,K0709|其他房地产业,
E1DFD42A090711_2,新单,2023-07-28 00:00:00,366,8366.6,592.27,8958.87,1,0,0.0,300000,十级伤残:5%,浙江省,杭州市,11,12,0,1,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.833,C|制造业,C021|家具制造业,C0219|其他家具制造,
6CC8147BBA8CF0_4,续保,2023-07-28 00:00:00,184,36411.9,0.0,36411.9,0,0,0.0,1000000,十级伤残:5%,重庆,重庆市,25,25,0,4,6,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,10,0.4,0.0,0.2,E|建筑业,E050|建筑装饰、装修和其他建筑业,E0501|建筑装饰和装修业,E05011|公共建筑装饰和装修
F41884E43C277E_1,新单,2023-07-28 00:00:00,366,13663.36,0.0,13663.36,1,331,0.024,100000,十级伤残:10%,浙江省,杭州市,74,74,0,16,22,30,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.014,E|建筑业,E050|建筑装饰、装修和其他建筑业,E0501|建筑装饰和装修业,E05012|住宅装饰和装修
5E1674F24C691C_1,新单,2023-07-29 00:00:00,366,20825.0,0.0,20825.0,4,4323,0.208,200000,十级伤残:10%,江苏省,常州市,35,35,5,10,5,9,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.229,C|制造业,C030|非金属矿物制品业,C0306|玻璃纤维和玻璃纤维增强塑料制品制造,C03061|玻璃纤维及制品制造
