CODECODE,国民经济行业类型,等级
A,农、林、牧、渔业,1
A01,农业,2
A011,谷物种植,3
A0111,稻谷种植,4
A0112,小麦种植,4
A0113,玉米种植,4
A0119,其他谷物种植,4
A012,豆类、油料和薯类种植,3
A0121,豆类种植,4
A0122,油料种植,4
A0123,薯类种植,4
A013,棉、麻、糖、烟草种植,3
A0131,棉花种植,4
A0132,麻类种植,4
A0133,糖料种植,4
A0134,烟草种植,4
A014,蔬菜、食用菌及园艺作物种植,3
A0141,蔬菜种植,4
A0142,食用菌种植,4
A0143,花卉种植,4
A0149,其他园艺作物种植,4
A015,水果种植,3
A0151,仁果类和核果类水果种植,4
A0152,葡萄种植,4
A0153,柑橘类种植,4
A0154,香蕉等亚热带水果种植,4
A0159,其他水果种植,4
A016,坚果、含油果、香料和饮料作物种植,3
A0161,坚果种植,4
A0162,含油果种植,4
A0163,香料作物种植,4
A0164,茶叶种植,4
A0169,其他饮料作物种植,4
A017,中药材种植,3
A0171,中草药种植,4
A0179,其他中药材种植,4
A018,草种植及割草,3
A0181,草种植,4
A0182,天然草原割草,4
A019,其他农业,3
A02,林业,2
A021,林木育种和育苗,3
A0211,林木育种,4
A0212,林木育苗,4
A022,造林和更新,3
A023,森林经营、管护和改培,3
A0231,森林经营和管护,4
A0232,森林改培,4
A024,木材和竹材采运,3
A0241,木材采运,4
A0242,竹材采运,4
A025,林产品采集,3
A0251,木竹材林产品采集,4
A0252,非木竹材林产品采集,4
A03,畜牧业,2
A031,牲畜饲养,3
A0311,牛的饲养,4
A0312,马的饲养,4
A0313,猪的饲养,4
A0314,羊的饲养,4
A0315,骆驼饲养,4
A0319,其他牲畜饲养,4
A032,家禽饲养,3
A0321,鸡的饲养,4
A0322,鸭的饲养,4
A0323,鵝的饲养,4
A0329,其他家禽饲养,4
A033,狩猎和捕捉动物,3
A039,其他畜牧业,3
A0391,兔的饲养,4
A0392,蜜蜂饲养,4
A0399,其他未列明畜牧业,4
A04,渔业,2
A041,水产养殖,3
A0411,海水养殖,4
A0412,内陆养殖,4
A042,水产捕捞,3
A0421,海水捕捞,4
A0422,内陆捕捞,4
A05,农、林、牧、渔专业及辅助性活动,2
A051,农业专业及辅助性活动,3
A0511,种子种苗培育活动,4
A0512,农业机械活动,4
A0513,灌溉活动,4
A0514,农产品初加工活动,4
A0515,农作物病虫害防治活动,4
A0519,其他农业专业及辅助性活动,4
A052,林业专业及辅助性活动,3
A0521,林业有害生物防治活动,4
A0522,森林防火活动,4
A0523,林产品初级加工活动,4
A0529,其他林业专业及辅助性活动,4
A053,畜牧专业及辅助性活动,3
A0531,畜牧良种繁殖活动,4
A0532,畜禽粪污处理活动,4
A0539,其他畜牧专业及辅助性活动,4
A054,渔业专业及辅助性活动,3
A0541,鱼苗及鱼种场活动,4
A0549,其他渔业专业及辅助性活动,4
B,采矿业,1
B010,非金属矿采选业,2
B0101,土砂石开采,3
B01011,石灰石、石膏开采,4
B01012,建筑装饰用石开采,4
B01013,耐火土石开采,4
B01019,粘土及其他土砂石开采,4
B0102,化学矿开采,3
B0103,采盐,3
B0109,石棉及其他非金属矿采选,3
B01091,石棉、云母矿采选,4
B01092,石墨、滑石采选,4
B01093,宝石、玉石采选,4
B01099,其他未列明非金属矿采选,4
